"X100259" "X100267" "X100274" "X100275" "X100277" "X100293" "X100317" "X100322" "X100341" "X100361" "X100395" "X100401" "X100476" "X100491" "X100510" "X100512" "X100513" "X100515" "X100516" "X100537" "X100547" "X100556" "X100563" "X100601" "X100636" "X100704" "X100716" "X100749" "X100750" "X100759" "X100778" "X100815" "X100821" "X100829" "X100831" "X100848" "X100852" "X100855" "X100887" "X100889" "X102002" "X102017" "X102026" "X102027" "X102028" "X102029" "X102030" "X102038" "X102039" "X102045" "X102046" "X102047" "X102055" "X102075" "X102083" "X102092" "X102098" "X102099" "X102105" "X102106" "X102117" "X102155" "X102158" "X102173" "X102174" "X102177" "X102184" "X102185" "X102186" "X102188" "X102191" "X102196" "X102206" "X102207" "X102221" "X102235" "X102239" "X102248" "X102257" "X102258" "X102259" "X102260" "X102261" "X102265" "X102267" "X102281" "X102282" "X102288" "X102289" "X102294" "X102295" "X102298" "X102300" "X102301" "X102304" "X102305" "X102311" "X102325" "X102334" "X102337" "X102338" "X102348" "X102349" "X102350" "X102355" "X102360" "X102370" "X102371" "X102373" "X102375" "X102377" "X102384" "X102385" "X102390" "X102396" "X102397" "X102404" "X102417" "X102418" "X102427" "X102429" "X102430" "X102442" "X102444" "X102445" "X102452" "X102453" "X102460" "X102465" "X102466" "X102469" "X102470" "X102471" "X102489" "X102491" "X102494" "X102495" "X102503" "X200068" "X200069" "X200079" "X200106" "X200108" "X200129" "X200131" "X200132" "X200133" "X200134" "X200136" "X200138" "X200140" "X200142" "X200143" "X200144" "X200147" "X200148" "X200149" "X200154" "X200156" "X200157" "X200174" "X200175" "X200178" "X200179" "X200184" "X200185" "X200192" "X200195" "X200196" "X200199" "X200200" "X200238" "X200241" "X200242" "X200244" "X200246" "X200248" "X200249" "X200286" "X200287" "X200288" "X200291" "X200292" "X200293" "X200294" "X200295" "X200298" "X200299" "X200300" "X200301" "X200302" "X200303" "X200304" "X200305" "X200306" "X200307" "X200309" "X200310" "X200311" "X200312" "X200314" "X200315" "X200316" "X200321" "X200322" "X200323" "X200324" "X200325" "X200326" "X200327" "X200328" "X200329" "X200330" "X200331" "X200332" "X200347" "X200348" "X200349" "X200350" "X200363" "X200364" "X200365" "X200366" "X200367" "X200369" "X200370" "X200371" "X200377" "X200378" "X200379" "X200381" "X200382" "X200383" "X200385" "X200386" "X200387" "X200388" "X200390" "X200392" "X200393" "X200421" "X200422" "X200425" "X200430" "X200434" "X200435" "X200442" "X202019" "X400554" "X400556" "X400558" "X400560" "X400562" "X400628"
"Fusobacterium_sp._HFU1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.39231742277876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium_sp._OMZ_982" 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 1.58496250072116 0 0 0 0 0 3.32192809488736 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Fusobacterium_sp._oral_clone_BP2-65" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium_sp._oral_clone_BS011" 0 1 0 0 2 6.12928301694497 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3.70043971814109 3.16992500144231 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 4.08746284125034 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5.12928301694497 0 0 0 1 1.58496250072116 0 0 2 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 7.25738784269265 1 0 0 0 4.52356195605701 0 0 0 0 0 4.24792751344359 0 2 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Fusobacterium_sp._oral_clone_EX123" 0 3.32192809488736 0 0 1.58496250072116 1 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.90689059560852 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.04439411935845 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium_varium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Granulicatella_adiacens" 3.8073549220576 3 0 0 0 6.2667865406949 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 2 1 5.04439411935845 2.8073549220576 0 2.8073549220576 3.58496250072116 0 0 0 4.32192809488736 3.70043971814109 0 5.12928301694497 0 1.58496250072116 1.58496250072116 0 2 0 0 0 4.52356195605701 0 1 0 1 1 0 0 1 0 0 2 0 1.58496250072116 1 1.58496250072116 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 4.39231742277876 0 0 2.8073549220576 2 4.24792751344359 0 5.32192809488736 2 1 1 3.32192809488736 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1.58496250072116 1 1 0 2.58496250072116 1 0 1 0 2 0 1 0 0 0 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 1 0 2.58496250072116 0 4.08746284125034 0 0 0 0 0 0 0 2.8073549220576 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3.8073549220576 0 0 0 3.16992500144231 4.16992500144231 0 0 1.58496250072116 0 1 0 1.58496250072116 5.4594316186373 0 0 0 5.35755200461808 4.32192809488736 3 0 0 0 0 0 2.58496250072116 0 2 0 5.04439411935845 0 5.7279204545632 0 0 1 0 2.8073549220576 0 0 2 0 0 2.32192809488736 1 0 2 1 0 0 2 0 4.85798099512757 0 1 0 0 0 3.16992500144231 2 0 0 0 2.8073549220576 0 0 0 1 1.58496250072116 2 0 0 0 2 1 0 0 0 1.58496250072116 0 0 2.58496250072116 0 3.16992500144231 0 0 0 0 0 0
"Granulicatella_elegans" 3.16992500144231 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2.8073549220576 1.58496250072116 2 3 0 0 3 0 0 0 1 2.32192809488736 0 5.12928301694497 1 2.32192809488736 0 0 1 0 1 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4.16992500144231 2.32192809488736 1.58496250072116 0 2.58496250072116 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 1 0 0 0 0 0 0 4.4594316186373 0 0 1 0 0 0 1 0 1.58496250072116 0 1 0 0 0 0 0 0 0 2 0 5.16992500144231 0 0 0 0 0 0 0 0 0 0 1 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 6.04439411935845 0 0 0 1.58496250072116 2 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 5.52356195605701 0 0 0 0 1.58496250072116 0 0 0 0 0 0 1.58496250072116 0 0 1 0 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0
"Granulicatella_sp._oral_clone_ASCG05" 4.85798099512757 1 1 0 0 5 0 0 0 0 2 1.58496250072116 1 0 0 1.58496250072116 1 0 0 3.70043971814109 0 0 0 2.58496250072116 1 0 3 1 4.52356195605701 5.78135971352466 0 0 0 0 0 1.58496250072116 3.90689059560852 1.58496250072116 2.32192809488736 0 1 0 0 1 0 5.28540221886225 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 3.32192809488736 4.52356195605701 2.8073549220576 0 0 6.18982455888002 2.32192809488736 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 4.52356195605701 0 0 0 0 1 0 0 0 0 4 0 0 1.58496250072116 0 0 0 0 3.16992500144231 0 0 1 1.58496250072116 0 2 0 0 0 0 0 0 0 0 0 0 0 6.12928301694497 0 0 0 0 6.24792751344359 0 1.58496250072116 0 0 0 0 3.70043971814109 5.78135971352466 0 0 0 5.12928301694497 0 1 0 0 0 0 0 0 0 0 0 2 0 7.4178525148859 0 0 0 0 2.58496250072116 0 0 0 0 0 0 1.58496250072116 0 0 0 1.58496250072116 0 0 0 3.16992500144231 1 0 0 0 0 6.18982455888002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2.32192809488736 0 0 0 0 2.58496250072116 0 0 1 1 0 0 0 0
"Haemophilus_ducreyi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.24792751344359 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Haemophilus_genomosp._P2_oral_clone_MB3_C24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2.8073549220576 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Haemophilus_haemolyticus" 1 4.08746284125034 0 0 0 4 0 2 0 3.8073549220576 2 0 0 0 0 1.58496250072116 3 0 0 0 0 1 0 2.32192809488736 1 6.85798099512757 3.4594316186373 0 2.58496250072116 1.58496250072116 0 0 0 1 2.32192809488736 0 5.4262647547021 2 0 0 1 2.8073549220576 0 0 2 3.58496250072116 0 0 1.58496250072116 0 0 0 0 0 0 0 1.58496250072116 2.32192809488736 1.58496250072116 0 1 0 0 1 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3.8073549220576 2.58496250072116 0 0 1.58496250072116 0 0 0 2.32192809488736 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 1 3 0 0 1 0 1 0 0 0 0 0 0 0 0 5.39231742277876 0 1 1 0 1.58496250072116 0 0 0 0 0 0 4.08746284125034 0 0 0 0 0 5.55458885167764 0 0 2.8073549220576 3 0 1 0 0 0 0 0 0 0 0 0 0 0 5.16992500144231 0 0 0 0 0 0 0 2.32192809488736 0 1 0 7.83920378809694 0 0 0 0 2.32192809488736 2 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 1 2 1 0 5.4262647547021 0 0 0 0 0 0 2 0 5.55458885167764 0 1 0 0 0 7.77478705960117 9.13185696060879 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 2.32192809488736 0 5.83289001416474 0 0 0 0 0 0 0 0 0 0 1
"Haemophilus_influenzae" 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 1 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 4.58496250072116 0 0 0 0 0 0 0 1.58496250072116 0 0 0 4.4594316186373 0 1.58496250072116 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 7.4093909361377 0 2.8073549220576 0 0 0 0 0 0 2 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Haemophilus_parainfluenzae" 5.32192809488736 6.75488750216347 5.49185309632967 0 1 6.53915881110803 0 0 0 3.32192809488736 2.32192809488736 1.58496250072116 5.12928301694497 0 3.32192809488736 3.8073549220576 3.4594316186373 0 0 1.58496250072116 3 0 0 5.4262647547021 5.58496250072116 0 7.88874324889826 0 7.32192809488736 5.83289001416474 2.58496250072116 0 0 0 1 4.24792751344359 2.8073549220576 3.70043971814109 1.58496250072116 0 1 3.90689059560852 0 2.32192809488736 1 6.5077946401987 0 0 0 3.4594316186373 2.32192809488736 0 0 3.16992500144231 0 0 0 2.8073549220576 0 3 0 0 6.16992500144231 2.32192809488736 1 0 0 4.75488750216347 0 0 1.58496250072116 0 0 0 2 3.8073549220576 2 1 0 0 1 0 8.04439411935845 2 0 0 1.58496250072116 4.24792751344359 1 1.58496250072116 7.84549005094437 1 1 2.32192809488736 5.32192809488736 0 0 0 1.58496250072116 0 0 0 0 0 1 2.8073549220576 1 0 0 0 2 1.58496250072116 0 3 3.4594316186373 0 0 0 2 5.20945336562895 1.58496250072116 1.58496250072116 0 0 0 1 3.16992500144231 4 0 7.37503943134692 2.8073549220576 2 0 0 5.12928301694497 1 0 5.64385618977472 0 6.35755200461808 3.32192809488736 4.4594316186373 1 2.58496250072116 0 1 2 6.6724253419715 2 1 3.8073549220576 2 2.32192809488736 5.12928301694497 0 0 0 0 1 1 2 0 0 0 0 8.38370429247405 0 0 0 1 8.65105169117893 0 6.06608919045777 5.4594316186373 0 0 1 4.32192809488736 1 0 0 0 9.92925840863697 0 9.54689445988764 0 0 0 4.64385618977472 0 0 0 0 0 0 0 8.8703647195834 4 2.58496250072116 0 0 2 0 0 3.4594316186373 3.70043971814109 0 0 6.44294349584873 1 2 0 0 0 1.58496250072116 0 2.32192809488736 5.58496250072116 0 0 0 0 4.58496250072116 1 0 0 0 1.58496250072116 0 0 0 0 6.04439411935845 0 0 2.58496250072116 0 0 0 0 6.89481776330794 0 0 0 0 0 0 2.58496250072116 4.32192809488736 0 2.8073549220576 0 1 0
"Haemophilus_sp._oral_clone_BJ021" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 4 0 4.16992500144231 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 2.58496250072116 0 0 2.58496250072116 0 0 0 4.58496250072116 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 4.75488750216347 0 0 0 0 0 6.04439411935845 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Haemophilus_sp._oral_clone_BP2-46" 3.8073549220576 5.35755200461808 3.16992500144231 0 1 6.20945336562895 0 0 0 3.90689059560852 2.32192809488736 1 1 0 0 2.32192809488736 2.32192809488736 0 0 0 1 1 0 3.58496250072116 3.70043971814109 0 6.32192809488736 0 4.58496250072116 3.58496250072116 0 0 0 0 0 3.58496250072116 1.58496250072116 2.58496250072116 1.58496250072116 0 0 3.90689059560852 0 0 2 4.16992500144231 1.58496250072116 0 0 3 1.58496250072116 0 0 0 0 0 0 1.58496250072116 1.58496250072116 2.32192809488736 0 0 0 2 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 3.32192809488736 0 0 0 1 0 0 0 3.4594316186373 0 0 0 3 0 0 0 2 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1 0 1 0 0 0 0 1 5.4262647547021 0 1 0 0 0 1 0 1.58496250072116 0 7.38370429247405 2 1 0 0 4.08746284125034 0 0 4.08746284125034 0 4.52356195605701 2 1.58496250072116 0 0 0 0 0 3.70043971814109 0 0 1.58496250072116 1.58496250072116 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 8.39660478118186 0 0 0 0 7.62205181945638 0 4.75488750216347 3.58496250072116 0 0 0 1.58496250072116 0 0 0 0 5.20945336562895 0 3.90689059560852 0 2 0 3.16992500144231 0 0 0 0 0 0 0 4.75488750216347 1 1 0 0 3.58496250072116 0 0 1.58496250072116 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 4.70043971814109 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2.8073549220576 0 1 0 0 0
"Haemophilus_sp._oral_clone_BP2-50" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hafnia_sp._270(114zx)" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helicobacter_cinaedi" 0 1 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.32192809488736 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.64385618977472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helicobacter_ganmani" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
